smartphone_brand,smartphone_brand_url
SAMSUNG,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ASAMSUNG&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_11&ds=v1%3Ao2QTLky2ChHbJP1sb4JW6BclkV4WpGTmcCW6o%2FV1Ls4
UMIDIGI,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AUMIDIGI&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_12&ds=v1%3At7%2BWIWSJWJkuoUltVAIULv9MkCZA%2Fff08fQ1bDChfPg
DOOGEE,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ADOOGEE&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_13&ds=v1%3A9mcGamzRwBh7mDv8OLV6rj2MFnQb0bjyvXFE8HDFKzk
NUU,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ANUU&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_14&ds=v1%3A2XRiOgRLLHUco5fFWInEiGXi5nTRvDqg2vQpfx81kJA
Ulefone,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AUlefone&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_15&ds=v1%3A56rgo4uwwnWz6XBhksBNSrUiCKlbDUBrLgOFuLE821M
Blackview,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ABlackview&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_16&ds=v1%3AB3P38yDaKnA46qP5joqqB97HIXNcVhwMrXy2sI10A4E
Sony,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ASony&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_17&ds=v1%3A%2BPQSR1%2FUyhnBA3g%2FPMzPzpcIGcmo4JT6zwBN5y8371Q
Alcatel,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AAlcatel&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_18&ds=v1%3AlZJf5tDme1FZferYLLsunw1QLEa0BSVsVtEr92XVpgA
OUKITEL,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AOUKITEL&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_19&ds=v1%3AqZ7rt4PAKYhW957hv1sJ6llR0mYD8XsRCg50kCD6YS8
fuxinya,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3Afuxinya&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_20&ds=v1%3A8i8BfuBvhN0FGX5I642LaDyovXAQDy%2BXNCdZPi%2BnlKY
Xgody,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AXgody&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_21&ds=v1%3AKsYouj7xFzn5pAKG75PBPIWu%2BWqeLmyUE4PREY40Mnk
ZTE,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AZTE&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_22&ds=v1%3ARuI%2BM78%2BVb83Jn8J%2FKmwTah6%2FbqP%2FCjWuag0QyWUZxk
KYOCERA,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AKYOCERA&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_23&ds=v1%3A%2FzB%2FGmbwWLNzLA0B%2B6AkwZCV9Aa19UmWTopIYD3vx1w
LG,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ALG&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_24&ds=v1%3AmjIANVSpQTh8QBy1t%2FqV5cOtIHAuLU0HPag8c4aUxH0
FOSSIBOT,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AFOSSIBOT&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_25&ds=v1%3ASrznmPHp6%2FjqMMXTea7R4xYPxnx7NfNOj9kBb3GSrqA
FNCOCO,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AFNCOCO&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_26&ds=v1%3A6YWJMLVPkvvnW6%2BI3DVfQBKBiEwS2ndI8PhR8%2FuN2So
BDWJW,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ABDWJW&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_27&ds=v1%3AjqGrxOitJ%2FgQQkuDdCV0cO1oe%2Fokpx7BDLM1TLIr7eY
Sefwon,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ASefwon&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_28&ds=v1%3AbymYDLKxZB6FIgLd385upG3RwvMFNC%2FJbcOUMQp0LFY
USHINING,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AUSHINING&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_29&ds=v1%3A1MDSZwLuvr9n1eRz0maF4mhpEkQNAqla5FzXVgGUIPI
HIEGOU,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AHIEGOU&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_30&ds=v1%3AVWaHwM8%2BibwFaDFkjmzBNk7KkgwZt9t5ShvEDcyYN%2Bo
Hipipooo,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AHipipooo&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_31&ds=v1%3AsPlW0qSKIZtvCFFp2BOvINg0xWnsTer7DPopX82%2BeGc
Hilitand,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AHilitand&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_32&ds=v1%3AcnScVGxWjjH4TzARaPcDf9GpqwpYHwdmO7WQBXb1DpU
Cuifati,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3ACuifati&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_33&ds=v1%3AKilXUMjtJnceKeE4IMgx97HiHQQBrevvgp1uR4rHm5w
8849,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3A8849&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_34&ds=v1%3AfHPHFjZkLvXdfmzFgwWtN47eXbCB5e0Cswb5fAOCX3Q
PUSOKEI,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3APUSOKEI&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_35&ds=v1%3AnsEcZKjsyx7W%2Bm5DFoRnvliapjVopRupu2T5c8PUOUU
GOWENIC,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AGOWENIC&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_36&ds=v1%3A98CLiOndRERoxpWScDw2x9mjq2H2kKIWIcm2NLnNdio
Heayzoki,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AHeayzoki&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_37&ds=v1%3AyR6ZclzSmG6gacwHJE5vZ%2BntoMmxYrMIvPHBYJX9HqU
ASHATA,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AASHATA&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_38&ds=v1%3ANbVB7b%2B%2FGHwTHikCnO5ZMKAParmYDbNxIj4%2Bx0PFb8A
Jectse,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AJectse&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_39&ds=v1%3ATf7JadApJoEZitAKGZKFjY72TrQmn2k8pzeojYSLjBg
Unifone,https://www.amazon.com/-/zh_TW/s?k=%E6%89%8B%E6%A9%9F&i=mobile&rh=n%3A7072561011%2Cp_89%3AUnifone&dc&language=zh_TW&crid=2FI25L7UURJFL&qid=1707744035&rnid=2528832011&sprefix=%2Caps%2C452&ref=sr_nr_p_89_40&ds=v1%3Aob5OCjQBgdfhITFmOZfiK%2FlFpKd%2FY7kHxAiXeZW58gg
